,article_id,typo,is_real_typo
0,289194,作賣點吸引玩家，不單困難重重，甚至只會招____得____遭淘汰的後果。 任天堂的舊堅持與新方向 ,0.5
1,289194,切換　任天堂Switch背後遊戲戰略》。____網____上標題及內容由編輯重擬及更新。 相關文章,0.0
2,291110, Moresby）。外界擔心關閉拘留中心____馬____演變成人道災難。 島上難民目前只得兩個希,1.0
3,291027,____坐____孤島監獄無法出走，只得一部智能電話的你會,1.0
4,291027,沙尼與營內難民生活寫照。 36歲的布沙尼____是____原本是伊朗記者，他2013年因逃避當局打,1.0
5,291027,尼的貼文後深受吸引，並主動聯繫後者：「布____加____尼問我是否可以幫他翻譯出書，我們自此以W,1.0
6,291128,恩開齋　與夏薩特齊入兩球　車路士5：0大____數____哈特斯菲 車路士大勝哈特斯菲反底　功臣夏,0.0
7,291128,5：0大數哈特斯菲 車路士大勝哈特斯菲反____底____　功臣夏薩特：沙利應該會高興 孫興慜末段,1.0
8,291128,：0大數哈特斯菲 車路士大勝哈特斯菲反底____　____功臣夏薩特：沙利應該會高興 孫興慜末段遠,0.0
9,287431,未見過，呢個遊戲會玩足幾日，收過都再問你____要____，根本認唔到」。 除了「與保安員捉迷藏」,0.0
10,290725,過的魚，容易引起貓咪腸胃的不適，出現肚瀉____；____嘔吐，甚至引起胰臟炎。 更多寵物文章： ,0.5
11,290624,身亦是刺青圖案的常見設計之一。有人說過一____手____字便能知道那個人的性格，紋身亦然。常見紋,0.0
12,290624,修飾，所以此字款適合性格樸實的人。 手寫____體____ 最大的特點是隨性的潦草字，每種手寫字都,0.0
13,290624,飾，所以此字款適合性格樸實的人。 手寫體____ ____最大的特點是隨性的潦草字，每種手寫字都具,1.0
14,290624,與字之間的清晰度，但亦有人愛具個性的手寫____款____。而且，大多手寫字追求筆畫幼細，營造輕盈,1.0
15,290624,輕盈感。手寫字適合短句紋身，越簡短越能刺____過____出手寫字的質感，也越能給予一種輕鬆感覺。,1.0
16,290531,erraPower公司，並一直在中國建立____行____波核技術的試點項目。這位微軟聯合創始人指,0.0
17,285945,喜歡狗，過去她也曾養過狗，我帶狗去公寓訪____視____時，她會主動表示要帶我的狗去散步。如果因,1.0
18,285945,增加動物與人的互動等多元刺激，讓創新產業____所____員工能更有專注力與創新的能力。 曾有一位,1.0
19,285945,地游泳，也有降壓的療癒感。這在牙醫診所中____，____得到證實，甚且水族箱即使只有水草，沒有魚,0.0
20,285945,降壓的療癒感。這在牙醫診所中，得到證實，____甚____且水族箱即使只有水草，沒有魚蝦，也會讓等,1.0
21,291142,還察看了北京老幹部活動中心建設運行情況，____要____他強調，老幹部是黨和國家的寶貴財富，要把,1.0
22,291071,工作慘況令網民產生聯想，不約而同留言指「____帽____事嘅」、「好綠」，一個有關工作壓力過大的,0.0
23,291071,下好心痛」。 但有網民留言指「係咪得我諗____帽____事嘅？」事實上「英雄所見略同」，其他網民,0.0
24,291071,見略同」，其他網民都有類似想法，紛紛指「____帽____事嘅」、「好綠」，更有人認為投錯稿，港男,0.0
25,289292,各種神秘道具深深吸引，自此踏上奇幻之路，____約____2014年起成為全職魔術師。今年的「新春,0.0
26,290672,規定： 對僱員來說，於公眾假期裏上班，獲____資____薪金一樣，但卻失去與眾同樂的機會，實在不,1.0
27,291144,國共產主義劃上等號。 對於劉小麗及朱凱廸____、____分別於九龍西立法會補選及村代表選舉被取消,1.0
28,289117,攔住車輛的閘口後，David就放繩，讓5____月____就5歲的爬坡自由地在山上奔走。不怕爬坡會,0.0
29,289117,些路線，我在A點上山，如果在B點落山的話____會____經過那些地方的話，我寧願不去B點，沿路折,0.0
30,289117,面，牠都很少會跣腳。有時牠會利用地面的滑____，____跣住落，但牠落得很穩陣，穩陣過我很多，我,0.0
31,291148,方向的功能，車輛的移動和制動全靠乘客手持____冰____叉控制。 由於支撐該車輛前部扶手的鐵棍直,0.0
32,291150,整潔規範，避免使用不易清理的粘合劑，便於____節____後清洗清理。對於亂張貼行為，城管部門將加,0.0
33,290450,普通的情侶，未來又怎麼敢想下去，但求學會____，____吃苦的樂趣」我們很普通，是對很普通的情侶,1.0
34,291155,255 生命熱線 : 23820000 ____利____民會 : 35122626,0.0
35,291159,於100%，兒科平均佔用率則為62%，最____爆____的醫院是伊利沙伯醫院，內科佔用率達108,0.0
36,291082,庭派發逾3萬個新春福袋，他指政府派錢派到____芒____市民怨聲載道，希望能為市民「添一點甜、多,1.0
37,290182,____月____1月，於英國貝爾法斯特市一幢公寓的火災中,1.0
38,290760,起了不同迴響。有人認為飲凍飲時沒有飲管非____法____麻煩，因為冰塊與牙齒會產生碰撞；有人認為,1.0
39,291168,趨勢。他又指籌備新一年度的預算案，將「繼____績____做好撐企業、保就業、穩經濟、利民生」。 ,1.0
40,291166,公廁解決，生活狀況欠佳。 惟黃伯所住的閣____仔____是加建在違例構築物上，因此市建局不能沿用,0.0
41,289983,機應變。 演出前最後五分鐘，眾演員踏出虎____度____門前，在狹窄的走廊通道爭分奪秒，作最後的,0.0
42,291164,芝野虎丸後得到了決賽名額。 當日，朴廷桓____猜____先猜到黑棋。開局階段，他在左下角的戰鬥中,1.0
43,291160,4分鐘及完場前被謝雲奴連建兩功，3︰3大____意____失分。祖雲達斯主帥艾歷尼怒轟球員態度散漫,0.0
44,291160,3︰1時態度散漫被追平。完場前不應在角球____旗____這樣踢，應一腳解圍。」艾帥又認為球員有責,0.0
45,291158,____自____收緊長者綜援申請資格，引起社會熱議，其中,0.0
46,291158,策，只以「論新年之以訛傳訛」為題，指澄清____易____會被視為死撑，相關的澄清，不但鮮有流傳，,0.0
47,291180,導，這尊佛像或可證明1421年明朝的鄭和____的____寶船曾來澳洲探索過，該時間比歐洲人抵達澳,0.0
48,291180,人向西澳洲海事博物館報告了這一發現，還發____去____了照片和清晰畫面，後者建議他們聯繫當地華,0.0
49,289655,野蠻啦！」 1Up：「我唔係野蠻！」（揼____地____） 孩子為「我唔係野蠻」，足足在屋苑平台,0.0
50,288304,stysyfung #Kristy #浸____大____ #傳理 #扮靚 #睇戲 #睇書 #化妝,0.0
51,288304,tysyfung #Kristy #浸大____ ____#傳理 #扮靚 #睇戲 #睇書 #化妝 ,0.0
52,290629,整個拍攝過程，將最美的一面展現給鏡頭就O____K____！ 只用了十幾分鐘，攝影師就已經捕捉到小,0.0
53,290629,小編最自然的一面。這時候你可以選擇看一下____完____剛才拍下的照片，假如效果不理想可以繼續影,1.0
54,290629,後，會再次跟你確認效果。這時候如果有任何____，____想改善調整的地方一定唔可以怕醜，要大膽講,1.0
55,290514,依然被視為次等？ 2010 年代：褲或裙____，____女性選擇的表達手法 在 2010 年代，,0.0
56,290514,。真正的進步，需要時間去學習，每一個年代____看____「權力穿搭」，我們都有不一樣的看法。 而,0.0
57,291188,案吳姓疑兇昨晚（2日晚）經法官裁准收押禁____見____。吳姓疑兇1月8日於台灣東區租屋處涉嫌勒,0.5
58,291188,後照常上班。 【台南分屍案】恐怖情人FB____上____外形開朗 警跟蹤發現其一腳踏多船 2月1,0.0
59,291188,票逮人，吳才承認犯案，台灣檢警依殺人罪嫌____法____辦，檢察官並以吳所涉殺人罪嫌，為最輕本刑,0.5
60,291188,嫌法辦，檢察官並以吳所涉殺人罪嫌，為最輕____本____刑為有期徒刑5年以上重罪，向法院聲請羈押,1.0
61,291171,眾人於當地桔場即場摘拮吃，謝偉銓更大讚桔____少____甜不酸。 除了四名議員與其太太外，何君堯,1.0
62,287084,8成都是由事主支付。 click入去睇吓____之____廢青男友是如何對待事主！ 成功置業後　男,1.0
63,289476,曾閱讀過不少文獻，參考有關粵劇書籍，也曾____及____向劇團經理、演員及工作人員討教，又訪問大,1.0
64,289476,，即二、三線演員。而六大台柱會獲編排特定____箱____位，在內上妝裝身。（圖片由攝影師黃曼玲提,0.0
65,289476,開數席，村民享用晚宴、打麻將、聊天或打牌____九____，非常熱鬧。（圖片由攝影師黃曼玲提供）,0.0
66,290617, 我們目標是到達路環西面市區的安德魯葡撻____原____店，所以沒有轉上往媽祖聖像或山頂公園的路,0.0
67,290617,2站，便轉上石面盆古道。在還未開發馬路以____先____，東面的黑沙村和西面的路環村的商貿往來，,1.0
68,291176,下廚大展身手招呼親友。日前伍詠薇接受香港____開____電視主持植詠珊訪問，對於多年來都被取笑是,0.0
69,291176,說：「不會！我唔鍾意，又有潔癖，中菜咁多____獻____汁，又要落手撈乜撈物，會整污糟對手！老公,1.0
70,291176,，又有潔癖，中菜咁多獻汁，又要落手撈乜撈____物____，會整污糟對手！老公有無投訴？佢敢？佢唔,0.0
71,288451,上還是硬要撐住，維持高冷的人物設定，頂多____小____虧一下自己：「還沒啦……我這麼差，怎麼會,0.0
72,288451,」 能將話題從南扯到北，應該只有射手才做____的____到吧～ ▶ 山羊座 山羊是最不怕遇到刁鑽,1.0
73,291204,涌居民組成員阿傑指，擔心最終新街市將外判____了____第三方管理，又稱選項鄰近地鐵站，憂慮會加,1.0
74,286414,13家公司，總共14個創業者，其中的7位____跟____拍得比較頻密，也算是電影的主角。 這幾年,0.0
75,286414,經是新東方最走紅的英語老師。後來自己出來____單____幹，創辦了牛博網和「老羅英語培訓學校」。,0.0
76,286414,12年，他40歲，成立了錘子科技，說要做____東____半球最好用的手機。 「語不驚人死不休」是,0.0
77,286414,間之後熟了就好了。沒想到他是真的從頭到尾____怵____鏡頭。我跟他說：「你就把我當空氣。」但畢,0.0
78,286414,他是頭驢，吃得很少，所有的心思都在拉這個____磨____。每天24小時，都撲在自己的事業上，基本,0.0
79,286414,。 這個27歲的小伙和他的公司，正在陷入____至____暗時刻。 如果要為片中的每一個公司定一個,0.0
80,286414,示了他們的危機。 前段時間，我給戴威看了____成____片，他說這段影像「是一段歷史了」。 未來,0.0
81,286414,，但是，這兩次失敗是他巨大的養分，所以新____氧____現在走得很穩很順。 我採訪他的時候，他說,1.0
82,286414,《奇葩說》爆紅。之後就跟《奇葩說》的明星____辯____手一起創業，專門做知識和娛樂方面的內容產,1.0
83,286414,薇，我跟她比較熟剛開始找到她，我說我想跟____拍____你創業，但我可沒有錢。 她回了我一句：「,0.0
84,286414,到問紀錄片要錢。」 創業面前，人人平等 ____安____傳東是代表當下絕大部分草根創業者的現狀。,0.0
85,286414,紀錄片要錢。」 創業面前，人人平等 安傳____東____是代表當下絕大部分草根創業者的現狀。他出,0.0
86,291080,求改名」為題發帖，上載多張蟑螂正在生產的____生____照，因為誕下的「小強」數量不少，場面非常,0.0
87,291070,才香口！(微博圖片) 李若彤就率先祝大家____豬____事順利！（微博圖片） 古仔就叫大家在大時,0.0
88,290691,功走上教堂前的99階梯，更會甜甜蜜蜜、長____廂____廝守，浪漫到暈！（圖片來源：GettyI,1.0
89,291181,「旋轉舞台」，緩緩步行。 ▼▼▼點撃圖片____！____看「旋轉真馬」事件！▼▼▼ 相關文章： ,0.0
90,291181,理會，有人以隱蔽鏡頭拍攝並向負責管理旋轉____真____馬職員查詢，職員表示知道網上有人批評，「,0.0
91,291073,牆，認為是當初只求馬虎了事，「隔咗十日先____油____第二層，第二層一日就搞掂，咩道理呀？」但,0.0
92,291198,2 月 20 日舉行的發布會，除了會帶來____會____新的 Galaxy S10 外，還會帶來,1.0
93,291198,度相差不大，相比早前搶先推出的外摺屏的柔____派____手機有更精巧的造工，外型亦更時尚實用。 ,0.0
94,291215,發出了「極具色彩性的語言」。對於美國向孟____晚____舟提出的諸多指控，中國外交部呼籲加拿大勿,0.0
95,291193,了。」 【周五心意運動】您捐一封$50利____是____，已可為基層送上溫飽，01心意呼籲您支持,0.0
96,291115,Amazing Summer推介劇集，原____排____定於8月12日首播，後來因改播外購劇《延,0.0
97,291115,版，重新剪輯成廿五集一小時的版本，並已送____檢____內地，有望成為同步播映的劇集，所以一切都,0.0
98,291115,於2018年10月被降回編導一職，使這部____的____劇的檔期遙遙無期。 4. 《好日子》 因,1.0
99,291203,內，無奈水溫太低、水深過深，無功而返，警____消____穿著潛水裝備後，在獲報後一個多小時內，找,0.0
100,291203,抱著賴婦的遺體痛哭失聲。 台中市消防局勤____指____中心表示，昨天深夜11時許接獲通報，北屯,0.0
101,291203,清，將陸續詢問目擊的家屬後，今報請檢察官____相____驗釐清死因。 【本文獲「 聯合新聞網 」,0.0
102,291216,出席Super Bowl宣傳時，輕裝上陣____仍____平NFL最快40碼測試紀錄，寶刀未老。 ,0.0
103,289606,放送協會》報導，研究團隊由該大學教育學部____準____教授大平洋子帶領。團隊表示，當人們感到壓,0.0
104,289606,究團隊由該大學教育學部準教授大平洋子帶領____。____團隊表示，當人們感到壓力時，身體就會分泌,0.0
105,289606,企業也實行員工福利措施，然而成效不大。想____實____正減輕打工仔的工作量和壓力，還需從文化源,1.0
106,289754,啤梨就唔好全紅熟嗮，要揀啲硬身嘅；橙就要____漲____卜卜，唔好皺皮；香蕉都唔好全黃色，揀啲青,0.0
